id,precio
106534266,234000
105567638,2600000
100935952,685000
103927130,663000
104082957,280000
104582707,299000
106275352,550000
107653652,639000
106596231,395000
105567623,749000
102326837,369000
104492245,440000
105932812,175000
107113389,280000
101598653,219000
106574789,152000
107947773,320000
106853372,420000
107656629,325000
107920353,425000
106898499,350000
107546426,155000
95214161,1990000
107712670,1847000
107433219,271000
105521195,950000
106214326,169000
107846672,195000
107393894,149500
107750021,265000
100072982,265000
107750021,265000
105733177,395000
107607130,390000
107785238,350000
107165294,159000
107683035,137000
106864696,380000
106827724,1925000
107891332,198000
106838547,180000
107086496,695000
106983685,247000
107731541,149000
105254127,220000
100278486,769500
107491114,168000
107114622,252000
107074101,335000
98929123,729000
107657160,330000
106238231,249000
105697390,340000
107810671,660000
107944568,139000
105536518,345000
107841238,210000
107655407,229000
107801790,160000
107782146,234000
92468015,1000000
104351402,595000
106070948,475000
106384632,1250000
107645048,396000
107099091,825000
106442252,159000
106070969,620000
107321586,350000
107056078,144500
106972702,310000
106973243,123000
107102412,370000
107874879,245000
106679792,239000
107491606,245000
107486425,280000
107333543,229000
106912078,530000
100620145,1490000
106520469,285000
107332416,194000
107286320,195000
107261299,240000
106996600,315000
107462526,249000
106097326,145000
95321160,235000
106733467,1350000
107869272,389000
105668542,749000
100465673,799000
105904298,350000
105131311,393000
100182354,2400000
105721116,399000
100960742,668000
106026931,275000
104875725,595000
104240630,459000
106025734,249000
101143424,730000
102799234,395000
101963264,320000
102324187,975000
101404826,1400000
105019849,1350000
103447476,1900000
103367964,1420000
100732121,249000
106680984,283000
104773885,680000
39921069,450000
101514291,590000
104156070,650000
103746060,575000
104528018,950000
107615319,980000
106535853,380000
95835384,749500
106535853,380000
95835384,749500
106413171,460000
105445535,250000
103333597,380000
103348493,1150000
105648636,838000
96074022,565000
107339446,576000
108035302,169000
108035322,210000
102804382,250000
106717854,178000
89996817,870000
106683827,109000
107178188,224000
94331448,799000
107077328,1095000
104237538,2950000
107092439,769500
105937909,769500
106584034,980000
96842445,1600000
104048195,320000
106407000,749000
100995730,840000
105217914,1800000
107812292,275000
99985861,2950000
106330926,166000
106528287,145962
107668634,179000
102414477,1350000
105857987,1490000
107591237,960000
106784046,1925000
108008714,145963
106642737,299000
105084226,895000
102307551,620000
107276009,960000
107533183,1925000
105521265,1500000
102721372,215000
101547089,475000
26997152,1000000
107704947,299000
108019522,299000
104630981,215000
107671181,210000
107876525,350000
104984365,295000
107121887,132000
106774955,168000
106329915,339360
107027888,159000
102734034,1290000
101296303,160000
102085011,210000
104084116,1490000
107027888,159000
106329915,339360
107144382,595000
100903409,475000
98876299,695000
104945217,450000
82347181,900000
97579906,493000
99005495,397000
104636457,360000
105535970,612000
100579881,750000
105393043,445000
83828843,490000
106817548,169000
96380609,700000
104599691,397000
106506332,410000
107677874,170000
106883516,225000
107788304,1250000
107672655,199000
107086031,135000
100393343,499000
107246218,170000
104974396,450000
99925165,769500
104104145,450000
103433299,499000
102105392,1490000
101914855,895000
108024614,180000
107806575,150000
102022020,975000
104021243,2600000
103836007,317000
100072957,179000
98399756,639000
103494870,320000
94770513,575000
101182613,510000
101572975,819000
104021044,1650000
101391424,145000
100902937,852000
106399161,195000
106462565,137000
105028550,1190000
100406155,325000
105027494,320000
99341225,6500000
98467044,280000
104693156,350000
105029317,1200000
106251654,84000
105217459,380000
107991491,187000
104836366,315000
106045681,390000
105412298,420000
105412298,420000
106042649,239000
106045681,390000
104836366,315000
106548637,120000
101354634,720000
106137275,140000
105275096,290000
107235157,350000
105030218,650000
104405636,769500
104107777,795000
107853947,160000
106596221,219000
104039367,249000
107491530,235000
107946840,329000
107875400,420000
107383322,270000
107819025,360000
105936976,220000
107263460,145000
100513055,212000
91690557,489000
107822860,238000
106123722,530000
105530809,1400000
92210162,1685000
104107565,460000
99148166,81000
105525290,2600000
92210162,1685000
99148166,81000
107435146,229000
105523107,4500000
105525175,1925000
102209527,685000
105397289,99000
105422679,1400000
107936330,175000
108019449,160000
106261300,1230000
101108251,895000
103392825,1250000
105990624,189000
104854357,1200000
81875166,650000
101825661,636000
107894814,700000
106227451,590000
97611553,580000
100904589,499000
107365604,670000
33775690,2500000
105525320,749000
107893450,135000
107801244,145000
107352806,595000
94356659,790000
105796475,680000
107858083,195000
105021429,185000
104348510,685000
107504726,145000
107642735,310000
106654671,315000
106038547,649000
101974940,5900000
105337028,799000
102853687,430000
103389515,279750
107378245,209000
105957513,335000
104992016,299000
104604519,1400000
107879415,265000
107381427,224000
106805881,269000
106394280,299000
105226342,380000
100629915,307000
103061254,595000
107367909,395000
106746788,430000
107262770,178000
103440880,1950000
97980651,490000
105106092,280000
107113187,399000
84772886,1900000
