titulo,precio,calle,latitud,longitud,metros,habitaciones,baños,año_construccion,terraza,balcon,garaje,ascensor,jardin,piscina,aire_acondicionado,ocupado,habitable,reforma,fecha_publicacion,publicacion_mes,publicacion_dia_semana,antiguedad_dias,zona_Cala Sant Francesc - Santa Cristina,zona_Centre,zona_Els Pavos,zona_Els Pins,zona_La Plantera,zona_Mont Ferrant - Sant Joan,zona_Semicentre,zona_Urbanitzacions,tipo_casa,tipo_estudio,tipo_otro,tipo_piso,precio_m2,ratio_habitaciones_baños,n_extras,zona
Chalet pareado en venta en calle del Contoliu,460000,carrer del contoliu,41.67457203240447,2.7876348771990314,250,6,3,1957.0,1,0,1,0,1,0,0,0,1,0,2025-03-20,3,3,20,0,1,0,0,0,0,0,0,1,0,0,0,1840.0,2.0,3,Centre
Piso en venta en calle Melilla,129000,carrer melilla,41.687150741268034,2.7951586371948594,96,3,2,1986.0,0,0,0,1,0,0,0,0,1,0,2025-02-28,2,4,40,0,0,0,0,0,0,1,0,0,0,0,1,1343.75,1.5,1,Semicentre
Piso en venta en calle Melilla,129900,carrer melilla,41.687150741268034,2.7951586371948594,110,3,2,1986.0,0,0,0,1,0,0,0,0,1,0,2025-03-01,3,5,39,0,0,0,0,0,0,1,0,0,0,0,1,1180.909090909091,1.5,1,Semicentre
Piso en venta en calle Melilla,132000,carrer melilla,41.687150741268034,2.7951586371948594,100,3,2,1986.0,0,0,0,1,0,0,0,0,1,0,2025-02-28,2,4,40,0,0,0,0,0,0,1,0,0,0,0,1,1320.0,1.5,1,Semicentre
Casa o chalet en venta en calle de la Surera,525000,carrer de la surera,41.691889674036815,2.795310049968309,245,5,3,2012.0,1,0,1,0,0,1,0,0,1,0,2025-03-27,3,3,13,0,0,0,0,0,0,0,1,1,0,0,0,2142.8571428571427,1.6666666666666667,3,Urbanitzacions
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,836000,carrer de sant francesc,41.68812440873454,2.8021213149376165,386,3,4,2006.0,1,0,1,0,1,1,1,0,1,0,2025-02-25,2,1,43,1,0,0,0,0,0,0,0,1,0,0,0,2165.8031088082903,0.75,5,Cala Sant Francesc - Santa Cristina
Piso en venta en Semicentre,169000,"carrer anselm clavé,62",41.677296,2.7873864,78,2,1,1986.0,0,1,0,1,0,0,0,0,1,0,2025-04-02,4,2,7,0,0,0,0,0,0,1,0,0,0,0,1,2166.6666666666665,2.0,2,Semicentre
Piso en venta en La Plantera,142000,carrer béjar,41.66839367930616,2.775473038042611,58,1,1,2007.0,0,1,0,1,0,0,0,0,1,0,2024-07-05,7,4,278,0,0,0,0,1,0,0,0,0,0,0,1,2448.2758620689656,1.0,2,La Plantera
Casa o chalet independiente en venta en Sant Damian,1500000,carrer sant damian,41.68572906183521,2.8033969997286405,218,4,2,1978.0,1,0,1,0,1,1,0,0,1,0,2024-09-01,9,6,220,1,0,0,0,0,0,0,0,1,0,0,0,6880.733944954129,2.0,4,Cala Sant Francesc - Santa Cristina
Piso en venta en plaza Medellín,120000,plaça medellín,41.667820573804775,2.7742319982362633,64,2,1,1977.0,1,0,0,1,0,0,1,0,0,0,2025-04-01,4,1,8,0,0,0,0,1,0,0,0,0,0,0,1,1875.0,2.0,3,La Plantera
