titulo,precio,calle,latitud,longitud,metros,habitaciones,baños,año_construccion,terraza,balcon,garaje,ascensor,jardin,piscina,aire_acondicionado,ocupado,habitable,reforma,fecha_publicacion,publicacion_mes,publicacion_dia_semana,antiguedad_dias,zona_Cala Sant Francesc - Santa Cristina,zona_Centre,zona_Els Pavos,zona_Els Pins,zona_La Plantera,zona_Mont Ferrant - Sant Joan,zona_Semicentre,zona_Urbanitzacions,tipo_casa,tipo_estudio,tipo_otro,tipo_piso,precio_m2,ratio_habitaciones_baños,n_extras,zona
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,990000,carrer de sant francesc,41.68812440873454,2.8021213149376165,174,5,3,1980.0,1,0,1,0,1,0,0,0,1,0,2025-04-03,4,3,6,1,0,0,0,0,0,0,0,1,0,0,0,5689.6551724137935,1.6666666666666667,3,Cala Sant Francesc - Santa Cristina
Casa o chalet en venta en Cala Sant Francesc - Santa Cristina,1275000,carrer de sant francesc,41.68812440873454,2.8021213149376165,412,3,3,2010.0,1,0,1,0,1,1,1,0,1,0,2025-04-07,4,0,2,1,0,0,0,0,0,0,0,1,0,0,0,3094.660194174757,1.0,5,Cala Sant Francesc - Santa Cristina
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,2450000,carrer de sant francesc,41.68812440873454,2.8021213149376165,389,11,9,1979.0,1,0,1,0,1,0,0,0,1,0,2025-04-03,4,3,6,1,0,0,0,0,0,0,0,1,0,0,0,6298.200514138817,1.2222222222222223,3,Cala Sant Francesc - Santa Cristina
Piso en venta en Centre,167000,carrer ample,41.67454693196272,2.791958077322335,78,3,1,1942.0,0,1,0,1,0,0,0,0,1,0,2025-03-13,3,3,27,0,1,0,0,0,0,0,0,0,0,0,1,2141.025641025641,3.0,2,Centre
Piso en venta en Els Pavos,189000,"carrer provença,4",41.67561905639978,2.781819036155578,55,2,1,2008.0,0,0,0,1,0,0,0,0,1,0,2025-03-31,3,0,9,0,0,1,0,0,0,0,0,0,0,0,1,3436.3636363636365,2.0,1,Els Pavos
Casa o chalet independiente en venta en Urbanitzacions,525000,carrer urbanitzacions,41.691889674036815,2.795310049968309,302,5,3,2012.0,1,0,1,0,1,1,1,0,1,0,2025-03-19,3,2,21,0,0,0,0,0,0,0,1,1,0,0,0,1738.41059602649,1.6666666666666667,5,Urbanitzacions
Casa o chalet en venta en Urbanitzacions,525000,carrer urbanitzacions,41.691889674036815,2.795310049968309,338,5,3,1986.0,0,0,1,0,1,1,0,0,1,0,2025-04-03,4,3,6,0,0,0,0,0,0,0,1,1,0,0,0,1553.2544378698226,1.6666666666666667,3,Urbanitzacions
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,1000000,carrer de sant francesc,41.68812440873454,2.8021213149376165,299,5,4,1986.0,1,0,1,0,1,1,1,0,1,0,2025-01-09,1,3,90,1,0,0,0,0,0,0,0,1,0,0,0,3344.4816053511704,1.25,5,Cala Sant Francesc - Santa Cristina
Piso en venta en Semicentre,160000,"carrer anselm clavé,62",41.677296,2.7873864,70,2,1,1971.0,1,0,0,1,0,0,0,0,1,0,2025-04-03,4,3,6,0,0,0,0,0,0,1,0,0,0,0,1,2285.714285714286,2.0,2,Semicentre
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,2000000,carrer de sant francesc,41.68812440873454,2.8021213149376165,473,4,5,1986.0,1,0,1,0,1,1,1,0,1,0,2025-03-29,3,5,11,1,0,0,0,0,0,0,0,1,0,0,0,4228.329809725158,0.8,5,Cala Sant Francesc - Santa Cristina
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,955000,carrer de sant francesc,41.68812440873454,2.8021213149376165,297,6,4,1986.0,1,0,1,0,1,1,1,0,1,0,2025-01-09,1,3,90,1,0,0,0,0,0,0,0,1,0,0,0,3215.4882154882157,1.5,5,Cala Sant Francesc - Santa Cristina
"Piso en venta en avenida del Mediterrani, 9",129800,"avinguda del mediterrani, 9",41.666007050000005,2.78083,48,1,1,1986.0,1,0,1,1,0,1,0,0,1,0,2025-04-05,4,5,4,0,0,0,1,0,0,0,0,0,0,0,1,2704.1666666666665,1.0,4,Els Pins
Casa o chalet independiente en venta en Centre,850000,carrer ample,41.67454693196272,2.791958077322335,347,6,3,1989.0,1,0,1,0,1,0,0,0,1,0,2025-04-03,4,3,6,0,1,0,0,0,0,0,0,1,0,0,0,2449.5677233429396,2.0,3,Centre
Casa o chalet en venta en Urbanitzacions,525000,carrer urbanitzacions,41.691889674036815,2.795310049968309,837,5,3,1986.0,1,0,1,0,1,1,0,0,1,0,2025-04-04,4,4,5,0,0,0,0,0,0,0,1,1,0,0,0,627.2401433691756,1.6666666666666667,4,Urbanitzacions
Piso en venta en calle Francolí,118000,carrer francolí,41.69313025,2.7969916,70,2,1,1986.0,0,0,0,1,0,0,0,0,1,0,2025-03-02,3,6,38,0,0,0,0,0,0,0,1,0,0,0,1,1685.7142857142858,2.0,1,Urbanitzacions
Piso en venta en Semicentre,207900,"carrer anselm clavé,62",41.677296,2.7873864,112,3,2,1986.0,0,1,0,1,0,0,1,0,1,0,2025-03-02,3,6,38,0,0,0,0,0,0,1,0,0,0,0,1,1856.25,1.5,3,Semicentre
Casa o chalet independiente en venta en Centre,500000,carrer ample,41.67454693196272,2.791958077322335,96,3,3,1940.0,1,0,0,0,0,0,1,0,1,0,2024-07-19,7,4,264,0,1,0,0,0,0,0,0,1,0,0,0,5208.333333333333,1.0,2,Centre
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,1380000,carrer de sant francesc,41.68812440873454,2.8021213149376165,298,4,2,1980.0,1,0,0,0,1,1,1,0,1,0,2024-09-21,9,5,200,1,0,0,0,0,0,0,0,1,0,0,0,4630.872483221477,2.0,4,Cala Sant Francesc - Santa Cristina
Piso en venta en calle Alt,160000,carrer alt,41.67931025,2.78812605,73,2,1,1971.0,1,0,0,1,0,0,0,0,1,0,2025-03-06,3,3,34,0,0,0,0,0,0,1,0,0,0,0,1,2191.780821917808,2.0,2,Semicentre
Piso en venta en calle d'Ignasi Iglesias,299000,carrer d'ignasi iglesias,41.6608896929472,2.7817487881108915,94,3,2,1978.0,1,0,0,1,0,0,0,0,1,0,2025-04-03,4,3,6,0,0,0,1,0,0,0,0,0,0,0,1,3180.851063829787,1.5,2,Els Pins
Piso en venta en calle del Sol Ixent,154000,carrer del sol ixent,41.67915500123253,2.7856055008331873,60,2,1,2008.0,0,1,0,1,0,0,1,0,1,0,2025-03-29,3,5,11,0,0,0,0,0,0,1,0,0,0,0,1,2566.6666666666665,2.0,3,Semicentre
Piso en venta en Els Pins,200000,carrer vila de paris,41.66407367300141,2.783408558724116,52,1,1,1987.0,1,0,0,1,0,1,0,0,1,0,2025-04-07,4,0,2,0,0,0,1,0,0,0,0,0,0,0,1,3846.153846153846,1.0,3,Els Pins
Piso en venta en calle Jaume I,133000,carrer jaume i,41.67760127355612,2.7900995828621684,101,3,1,1986.0,0,0,0,1,0,0,0,1,1,0,2025-04-02,4,2,7,0,1,0,0,0,0,0,0,0,0,0,1,1316.8316831683169,3.0,1,Centre
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,950000,carrer de sant francesc,41.68885595,2.80214255,344,4,3,1999.0,1,0,0,0,1,1,1,0,1,0,2024-09-21,9,5,200,1,0,0,0,0,0,0,0,1,0,0,0,2761.6279069767443,1.3333333333333333,4,Cala Sant Francesc - Santa Cristina
Casa o chalet independiente en venta en Urbanitzacions,520000,carrer urbanitzacions,41.691889674036815,2.795310049968309,190,3,3,1997.0,1,0,1,0,1,1,0,0,1,0,2025-01-29,1,2,70,0,0,0,0,0,0,0,1,1,0,0,0,2736.842105263158,1.0,4,Urbanitzacions
Piso en venta en calle Túria,79500,carrer túria,41.692846,2.7975054,63,2,1,1986.0,0,0,0,1,0,0,0,1,1,0,2025-03-14,3,4,26,0,0,0,0,0,0,0,1,0,0,0,1,1261.904761904762,2.0,1,Urbanitzacions
Piso en venta en Centre,760000,carrer ample,41.67454693196272,2.791958077322335,150,3,3,1973.0,0,0,0,1,0,0,1,0,1,0,2025-04-02,4,2,7,0,1,0,0,0,0,0,0,0,0,0,1,5066.666666666667,1.0,2,Centre
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,1600000,carrer de sant francesc,41.68885595,2.80214255,455,3,6,1993.0,1,0,1,0,1,1,1,0,1,0,2024-08-08,8,3,244,1,0,0,0,0,0,0,0,1,0,0,0,3516.4835164835163,0.5,5,Cala Sant Francesc - Santa Cristina
Piso en venta en Mont Ferrant - Sant Joan,80000,carrer mas vaixeller,41.67739235958661,2.7796335403619707,39,1,1,2007.0,0,0,0,1,0,0,0,0,1,0,2025-03-11,3,1,29,0,0,0,0,0,1,0,0,0,0,0,1,2051.2820512820513,1.0,1,Mont Ferrant - Sant Joan
Piso en venta en calle Espronceda,112000,carrer espronceda,41.66841556114663,2.774977175572961,50,1,1,2007.0,0,0,0,1,0,1,1,0,1,0,2025-01-28,1,1,71,0,0,0,0,1,0,0,0,0,0,0,1,2240.0,1.0,3,La Plantera
Chalet adosado en venta en calle dels Olivers,399500,carrer dels olivers,41.66658074499602,2.7819321619823683,65,3,3,1993.0,1,0,0,0,0,0,0,0,1,0,2025-04-03,4,3,6,0,0,0,1,0,0,0,0,1,0,0,0,6146.153846153846,1.0,1,Els Pins
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,836000,carrer de sant francesc,41.68885595,2.80214255,386,4,4,2006.0,1,0,1,0,1,1,0,0,1,0,2025-04-05,4,5,4,1,0,0,0,0,0,0,0,1,0,0,0,2165.8031088082903,1.0,4,Cala Sant Francesc - Santa Cristina
Chalet adosado en venta en calle del Bellaire,289000,carrer del bellaire,41.6745209,2.7906187,104,2,3,1982.0,0,0,0,0,0,0,1,0,1,0,2025-04-03,4,3,6,0,1,0,0,0,0,0,0,1,0,0,0,2778.846153846154,0.6666666666666666,1,Centre
Chalet adosado en venta en Centre,390000,carrer ample,41.67454693196272,2.791958077322335,177,7,4,1986.0,1,0,0,0,0,0,0,0,1,0,2025-02-08,2,5,60,0,1,0,0,0,0,0,0,1,0,0,0,2203.3898305084745,1.75,1,Centre
Chalet adosado en venta en Semicentre,725000,"carrer anselm clavé,62",41.677296,2.7873864,924,7,3,1986.0,0,1,0,0,0,1,0,0,1,0,2025-02-06,2,3,62,0,0,0,0,0,0,1,0,1,0,0,0,784.6320346320347,2.3333333333333335,2,Semicentre
Casa o chalet independiente en venta en paseo de Carles Faust,3300000,passeig de carles faust,41.675882574372025,2.801212791287493,295,5,4,1983.0,1,0,1,0,1,0,0,0,1,0,2025-04-08,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,11186.440677966102,1.25,3,Cala Sant Francesc - Santa Cristina
Casa o chalet en venta en Centre,862000,carrer ample,41.67454693196272,2.791958077322335,460,6,2,1986.0,1,0,1,0,1,0,1,0,1,0,2025-04-07,4,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1873.9130434782608,3.0,4,Centre
