titulo,tipo,precio,zona,calle,latitud,longitud,metros,habitaciones,baños,año_construccion,terraza,balcon,garaje,ascensor,jardin,piscina,aire_acondicionado,ocupado,habitable,reforma,fecha_publicacion
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,2910000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68812440873454,2.8021213149376165,658,8,5,1980,True,False,True,False,True,True,False,False,True,False,03-02-2025
Piso en venta en Els Pins,piso,240000,Els Pins,carrer vila de paris,41.66407367300141,2.783408558724116,90,2,1,0,True,False,False,True,False,True,False,False,True,False,01-04-2025
Casa o chalet independiente en venta en Urbanitzacions,casa,525000,Urbanitzacions,carrer urbanitzacions,,,354,5,3,2012,True,False,True,False,True,True,False,False,True,False,02-04-2025
Piso en venta en paseo de s'Abanell,piso,277000,Els Pins,passeig de s'abanell,41.6690566,2.78753435,70,3,2,0,True,False,False,True,False,False,True,False,True,False,04-04-2025
Chalet adosado en venta en Centre,casa,650000,Centre,carrer ample,41.674546931962716,2.791958077322335,321,4,4,0,False,False,True,False,False,False,False,False,True,False,01-04-2025
Casa o chalet en venta en Mont Ferrant - Sant Joan,casa,599000,Mont Ferrant - Sant Joan,carrer mas vaixeller,41.67847922230874,2.7791742543271614,278,4,3,1998,True,False,True,False,True,True,True,False,True,False,13-05-2024
Piso en venta en calle del Pou Nou,piso,158000,Centre,carrer del pou nou,41.673604742372106,2.7885063242696617,55,2,1,1964,False,False,False,True,False,False,True,False,True,False,12-03-2025
Casa o chalet en venta en calle del Bellaire,casa,325000,Centre,carrer del bellaire,41.6745209,2.7906187,142,3,3,0,False,True,False,False,False,False,True,False,True,False,24-10-2024
Piso en venta en Els Pavos,piso,189000,Els Pavos,"carrer provença,4",41.67561905639978,2.781819036155578,97,3,1,1980,False,False,False,True,False,False,False,False,True,False,04-04-2025
Piso en venta en calle de Sant Bonós,piso,179000,Centre,carrer de sant bonós,41.673397191328206,2.7888824786952617,67,2,1,0,True,False,False,True,False,False,False,False,True,False,30-10-2024
Piso en venta en calle de Sant Joan,piso,179000,Centre,carrer de sant joan,41.67416835194289,2.7893749328385042,52,2,1,1915,False,False,True,True,False,False,True,False,True,False,18-03-2025
Piso en venta en Els Pins,piso,279000,Els Pins,carrer vila de paris,41.66407367300141,2.783408558724116,58,3,2,0,False,False,False,True,False,False,True,False,True,False,01-04-2025
Piso en venta en Els Pavos,piso,215000,Els Pavos,"carrer provença,4",41.67561905639978,2.781819036155578,80,2,2,2025,True,False,False,True,False,False,True,False,True,False,05-04-2025
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,695000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68565600269289,2.80189424883582,260,4,3,2001,True,False,True,False,True,True,True,False,True,False,07-04-2025
Casa o chalet en venta en calle de les Escales de l'Aigua,casa,108800,Els Pavos,carrer de les escales de l'aigua,41.6698203,2.7830408,174,3,1,0,False,False,False,False,False,False,False,True,True,False,04-04-2025
Piso en venta en Semicentre,piso,207900,Semicentre,"carrer anselm clavé,62",41.677296,2.7873864,112,3,2,0,False,True,False,True,False,False,True,False,True,False,17-03-2025
Casa o chalet en venta en Urbanitzacions,casa,598000,Urbanitzacions,carrer urbanitzacions,,,270,5,4,2005,False,True,True,False,False,True,True,False,True,False,19-12-2024
Piso en venta en Centre,piso,155000,Centre,carrer ample,41.674546931962716,2.791958077322335,54,2,1,2007,True,False,False,True,False,False,True,False,True,False,05-02-2025
Piso en venta en Semicentre,piso,159000,Semicentre,"carrer anselm clavé,62",41.677296,2.7873864,79,3,1,1966,False,True,False,True,False,False,False,False,True,False,02-03-2025
Piso en venta en Semicentre,piso,154000,Semicentre,"carrer anselm clavé,62",41.677296,2.7873864,51,2,1,0,True,False,False,True,False,False,False,False,True,False,05-02-2025
Piso en venta en Mont Ferrant - Sant Joan,piso,179000,Mont Ferrant - Sant Joan,carrer mas vaixeller,41.677251999999996,2.77971885,64,2,1,2006,False,True,False,True,False,False,False,False,True,False,05-03-2025
Casa o chalet en venta en Cala Sant Francesc - Santa Cristina,casa,990000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68565600269289,2.80189424883582,220,4,3,1980,False,True,True,False,False,True,False,False,True,False,04-03-2025
Piso en venta en calle Nil M. Fabra,piso,265000,Els Pins,carrer nil m. fabra,41.659081799999996,2.78132425,80,3,1,0,True,False,False,True,False,False,False,False,True,False,05-04-2025
Piso en venta en Centre,piso,236000,Centre,carrer ample,41.674546931962716,2.791958077322335,98,2,3,2007,True,False,False,True,False,False,True,False,True,False,04-04-2025
Estudio en venta en avenida del Mediterrani,estudio,117500,Els Pins,avinguda del mediterrani,41.66500504207291,2.7833923188077305,30,0,1,1972,True,False,False,True,False,True,False,False,True,False,31-03-2025
Dúplex en venta en avenida Extremadura,piso,189000,La Plantera,avinguda extremadura,41.66840593875128,2.7768757983649746,97,3,2,2000,True,False,False,True,False,False,False,False,True,False,10-03-2025
Piso en venta en Cala Sant Francesc - Santa Cristina,piso,598000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.688855950000004,2.80214255,144,4,2,1981,True,False,True,True,False,True,True,False,True,False,02-04-2025
Piso en venta en Semicentre,piso,207000,Semicentre,"carrer anselm clavé,62",41.677296,2.7873864,85,3,2,1997,True,False,False,True,False,False,True,False,True,False,03-04-2025
Casa o chalet independiente en venta en Urbanitzacions,casa,650000,Urbanitzacions,carrer urbanitzacions,,,292,7,3,1980,True,False,True,False,True,True,False,False,True,False,17-02-2025
Estudio en venta en Els Pins,estudio,116000,Els Pins,carrer vila de paris,41.66407367300141,2.783408558724116,23,0,1,0,True,False,False,True,False,False,True,False,True,False,24-12-2024
Piso en venta en Els Pavos,piso,250000,Els Pavos,"carrer provença,4",41.67561905639978,2.781819036155578,97,3,2,2009,True,False,True,True,False,False,True,False,True,False,27-03-2025
Piso en venta en avenida Vila de Madrid,piso,210000,Els Pins,avinguda vila de madrid,41.65688477128467,2.7789646683159557,100,2,1,1980,True,False,False,True,False,True,False,False,True,False,06-03-2025
Piso en venta en calle Mònaco,piso,187000,Els Pins,carrer mònaco,41.66575585,2.7828519,65,3,1,1967,False,True,False,True,False,False,True,False,True,False,05-12-2024
"Piso en venta en calle Sant Bonós, 22",piso,181250,Centre,"carrer sant bonós, 22",41.673397191328206,2.7888824786952617,49,1,1,0,False,False,False,True,False,False,False,False,True,False,27-11-2024
Piso en venta en La Plantera,piso,245000,La Plantera,carrer béjar,41.66839367930616,2.775473038042611,190,3,2,0,True,False,False,True,False,False,False,False,True,False,08-04-2025
Piso en venta en Els Pins,piso,260000,Els Pins,carrer vila de paris,41.66407367300141,2.783408558724116,91,2,1,1981,False,False,False,True,False,True,True,False,True,False,08-04-2025
Casa o chalet independiente en venta en paseo Cortils i Vieta,casa,2910000,Centre,passeig cortils i vieta,41.67220716272651,2.790415891742099,600,6,5,1979,False,False,True,False,False,True,False,False,True,False,07-04-2025
Casa o chalet independiente en venta en calle Pere Puig i Llensa,casa,990000,Centre,carrer pere puig i llensa,,,450,4,4,1958,False,False,True,False,False,False,True,False,True,False,20-11-2024
"Piso en venta en calle Sant Bonós, 22",piso,237800,Centre,"carrer sant bonós, 22",41.673397191328206,2.7888824786952617,60,2,1,0,False,True,False,True,False,False,False,False,True,False,27-11-2024
"Estudio en venta en avenida del Mediterrani, 5",estudio,127500,Els Pins,"avinguda del mediterrani, 5",41.66500504207291,2.7833923188077305,30,0,1,1972,False,False,False,True,False,True,False,False,True,False,10-03-2025
"Casa o chalet independiente en venta en calle de la Cala, 10",casa,3500000,Cala Sant Francesc - Santa Cristina,"carrer de la cala, 10",41.680072801197625,2.808561880008474,680,7,5,1986,True,False,False,False,False,False,True,False,True,False,09-08-2024
Casa o chalet independiente en venta en de la Cala,casa,1500000,Centre,carrer de la cala,41.680072801197625,2.808561880008474,434,6,6,0,True,False,True,False,True,True,True,False,True,False,06-02-2025
Casa o chalet independiente en venta en paseo de Carles Faust,casa,2450000,Cala Sant Francesc - Santa Cristina,passeig de carles faust,41.675882574372025,2.801212791287493,560,11,9,1976,False,True,True,False,True,False,True,False,True,False,28-03-2025
Piso en venta en Extremadura,piso,180000,La Plantera,carrer extremadura,,,95,2,1,0,True,False,False,True,False,False,True,False,True,False,08-01-2025
Dúplex en venta en calle d'Anselm Clavé,piso,159000,Centre,carrer d'anselm clavé,41.678494673759886,2.7849744099208884,80,1,1,1990,True,False,False,True,False,False,True,False,True,False,17-02-2025
Casa o chalet independiente en venta en calle de Mas Marull,casa,340000,La Plantera,carrer de mas marull,41.667444200000006,2.77508605,215,4,3,2011,False,False,False,False,False,False,False,False,True,False,17-02-2025
Piso en venta en La Plantera,piso,245000,La Plantera,carrer béjar,41.66839367930616,2.775473038042611,124,4,3,1990,True,False,False,True,False,False,True,False,True,False,04-04-2025
Casa o chalet independiente en venta en calle Almadrava,casa,3950000,Cala Sant Francesc - Santa Cristina,carrer almadrava,41.67900997064663,2.8012601376075494,487,4,4,2023,False,True,False,False,False,True,True,False,True,False,01-04-2025
"Piso en venta en calle Sant Bonós, 22",piso,279000,Centre,"carrer sant bonós, 22",41.673397191328206,2.7888824786952617,78,3,2,0,True,False,False,True,False,False,False,False,True,False,27-11-2024
Piso en venta en calle del Doctor Xavier Brunet,piso,1290000,Centre,carrer del doctor xavier brunet,41.67268162978849,2.790516371270375,167,3,4,2012,False,True,False,True,False,False,True,False,True,False,31-03-2025
Piso en venta en paseo Pau Casals,piso,760000,Centre,passeig pau casals,41.67479652545284,2.794054386901673,155,7,2,1973,True,False,False,True,False,False,False,False,True,False,08-04-2025
