titulo,tipo,precio,zona,calle,latitud,longitud,metros,habitaciones,baños,año_construccion,terraza,balcon,garaje,ascensor,jardin,piscina,aire_acondicionado,ocupado,habitable,reforma,fecha_publicacion
Piso en venta en Els Pins,piso,199500,Els Pins,carrer vila de paris,41.66407367300141,2.783408558724116,84,3,1,1967,False,True,False,True,False,False,False,False,True,False,05-04-2025
Piso en venta en calle Espronceda,piso,140000,La Plantera,carrer espronceda,41.66841556114663,2.774977175572961,58,1,1,2007,False,True,False,True,False,False,True,False,True,False,25-09-2024
Piso en venta en La Plantera,piso,135000,La Plantera,carrer béjar,41.66839367930616,2.775473038042611,49,2,1,1970,True,False,False,True,False,True,False,False,True,False,05-02-2025
Piso en venta en plaza Merida,piso,120000,La Plantera,plaça merida,41.667966687192084,2.7732642503798903,50,1,1,1992,False,False,True,True,False,False,True,False,True,False,25-09-2024
Piso en venta en Centre,piso,240000,Centre,carrer ample,41.674546931962716,2.791958077322335,98,2,3,0,True,False,False,True,False,False,True,False,True,False,04-04-2025
Ático en venta en Centre,piso,155000,Centre,carrer ample,41.674546931962716,2.791958077322335,71,3,1,1967,True,False,False,True,False,False,False,False,True,False,08-04-2025
Piso en venta en Els Pins,piso,298000,Els Pins,carrer vila de paris,41.66407367300141,2.783408558724116,100,3,2,1978,False,True,False,True,False,True,False,False,True,False,28-03-2025
Finca rústica en venta en Residencial Blanes s/n,otro,80000,Urbanitzacions,carrer residencial blanes s/n,,,70,3,1,0,True,False,False,False,False,False,False,False,False,False,05-04-2025
Piso en venta en Els Pavos,piso,187000,Els Pavos,"carrer provença,4",41.67561905639978,2.781819036155578,71,2,2,1998,True,False,False,True,False,False,False,False,True,False,27-03-2025
Casa o chalet independiente en venta en calle Marià Fortuny,casa,900000,Mont Ferrant - Sant Joan,carrer marià fortuny,41.67767202475727,2.7972514310393866,200,4,2,1989,True,False,True,False,True,True,False,False,True,False,02-12-2024
Piso en venta en Els Pavos,piso,215000,Els Pavos,"carrer provença,4",41.67561905639978,2.781819036155578,90,3,2,1996,False,True,False,True,False,False,True,False,True,False,19-03-2025
Piso en venta en Centre,piso,223000,Centre,carrer ample,41.674546931962716,2.791958077322335,122,3,2,2000,True,False,False,True,False,False,True,False,True,False,08-04-2025
Piso en venta en Mont Ferrant - Sant Joan,piso,134000,Mont Ferrant - Sant Joan,carrer mas vaixeller,41.67847922230874,2.7791742543271614,78,2,1,1980,False,False,False,True,False,False,False,False,True,False,14-11-2024
Piso en venta en Centre,piso,158000,Centre,carrer ample,41.674546931962716,2.791958077322335,55,2,1,1964,False,False,False,True,False,False,False,False,True,False,12-03-2025
Piso en venta en Els Pavos,piso,138000,Els Pavos,"carrer provença,4",41.67561905639978,2.781819036155578,84,3,2,1972,False,True,False,True,False,False,False,False,True,False,04-04-2025
Piso en venta en Semicentre,piso,289000,Semicentre,"carrer anselm clavé,62",41.677296,2.7873864,131,4,2,1977,False,True,False,True,False,False,True,False,True,False,04-04-2025
Piso en venta en La Plantera,piso,143000,La Plantera,carrer béjar,41.66839367930616,2.775473038042611,50,1,1,2007,False,True,False,True,False,True,False,False,True,False,07-04-2025
Piso en venta en Els Pins,piso,255000,Els Pins,carrer vila de paris,41.66407367300141,2.783408558724116,124,4,2,0,False,True,False,True,False,False,False,False,True,False,21-03-2025
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,1950000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68812440873454,2.8021213149376165,342,5,4,1981,False,False,True,False,True,True,True,False,True,False,03-02-2025
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,1950000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.688855950000004,2.80214255,507,5,4,2013,True,False,True,False,True,True,True,False,True,False,01-04-2025
Piso en venta en Centre,piso,159000,Centre,carrer ample,41.674546931962716,2.791958077322335,80,1,1,1990,True,False,False,True,False,False,True,False,True,False,07-04-2025
Piso en venta en Cala Sant Francesc - Santa Cristina,piso,836000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.688855950000004,2.80214255,391,3,4,2000,True,False,True,True,False,True,True,False,True,False,28-02-2025
"Estudio en venta en calle Vila de París, 4",estudio,120000,Els Pins,"carrer vila de parís, 4",41.66407367300141,2.783408558724116,24,0,1,0,False,False,False,True,False,True,False,False,True,False,05-04-2025
Chalet adosado en venta en Centre,casa,570000,Centre,carrer ample,41.674546931962716,2.791958077322335,421,5,4,1960,True,False,False,False,False,False,False,False,True,False,04-04-2025
Piso en venta en Centre,piso,384000,Centre,carrer ample,41.674546931962716,2.791958077322335,96,3,2,1970,False,True,False,True,False,False,False,False,True,False,05-03-2025
Casa rural en venta en carretera Tordera,casa,850000,Semicentre,carretera tordera,41.68467202811999,2.7687823565796603,1200,7,3,0,True,False,True,False,True,True,False,False,True,False,10-03-2025
Piso en venta en Centre,piso,84000,Centre,carrer ample,41.674546931962716,2.791958077322335,31,1,1,0,False,False,False,True,False,False,False,False,False,False,04-04-2025
Piso en venta en Centre,piso,135000,Centre,carrer ample,41.674546931962716,2.791958077322335,25,1,1,1970,False,False,False,True,False,False,False,False,True,False,04-04-2025
Casa o chalet en venta en Els Pins,casa,399000,Els Pins,carrer vila de paris,41.66407367300141,2.783408558724116,130,4,2,0,True,False,True,False,True,False,False,False,True,False,08-04-2025
Casa o chalet independiente en venta en Mont Ferrant - Sant Joan,casa,295000,Mont Ferrant - Sant Joan,carrer mas vaixeller,41.67739235958661,2.7796335403619707,208,6,3,1960,True,False,True,False,False,False,False,False,True,False,27-03-2025
"Piso en venta en calle de Sant Bonós, 7",piso,183750,Centre,"carrer de sant bonós, 7",41.673397191328206,2.7888824786952617,59,1,1,0,False,False,False,True,False,False,False,False,True,False,05-04-2025
Piso en venta en Centre,piso,153500,Centre,carrer ample,41.674546931962716,2.791958077322335,51,2,1,2007,False,True,False,True,False,False,True,False,True,False,04-04-2025
Piso en venta en Centre,piso,228000,Centre,carrer ample,41.674546931962716,2.791958077322335,122,3,2,2000,False,False,False,True,False,False,False,False,True,False,05-03-2025
Piso en venta en La Plantera,piso,150000,La Plantera,carrer béjar,41.66839367930616,2.775473038042611,50,1,1,2004,True,False,False,True,False,False,True,False,True,False,05-04-2025
Ático en venta en calle del Cadí,piso,177000,Centre,carrer del cadí,,,95,4,1,1974,True,False,False,True,False,False,False,False,True,False,21-10-2024
Piso en venta en avenida Extremadura,piso,246000,La Plantera,avinguda extremadura,41.66840593875128,2.7768757983649746,109,3,2,1993,True,False,False,True,False,False,True,False,True,False,20-06-2024
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,2450000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68565600269289,2.80189424883582,450,11,5,1979,True,False,True,False,True,False,True,False,True,False,11-08-2024
Ático en venta en Centre,piso,318000,Centre,carrer ample,41.674546931962716,2.791958077322335,108,3,3,1994,True,False,False,True,False,False,False,False,True,False,26-07-2024
Piso en venta en Els Pins,piso,335000,Els Pins,carrer vila de paris,41.66407367300141,2.783408558724116,87,3,1,1967,True,False,False,True,False,False,False,False,True,False,25-03-2025
Casa o chalet independiente en venta en Mont Ferrant - Sant Joan,casa,2000000,Mont Ferrant - Sant Joan,carrer mas vaixeller,41.677251999999996,2.77971885,1000,4,4,0,True,False,True,False,False,False,True,False,True,False,01-02-2025
Chalet adosado en venta en calle de Provença,casa,340000,Els Pavos,carrer de provença,41.67561905639978,2.781819036155578,120,4,2,1986,True,False,True,False,True,False,True,False,True,False,07-04-2025
Casa o chalet independiente en venta en calle de la Cala,casa,1800000,Cala Sant Francesc - Santa Cristina,carrer de la cala,41.6800357,2.8051396,654,5,6,1980,True,False,True,False,True,True,True,False,True,False,07-04-2025
Piso en venta en Els Pavos,piso,339000,Els Pavos,"carrer provença,4",41.67561905639978,2.781819036155578,134,4,2,1997,False,True,True,True,False,True,False,False,True,False,03-04-2025
Chalet adosado en venta en Centre,casa,570000,Centre,carrer ample,41.674546931962716,2.791958077322335,421,5,4,2006,True,False,True,False,False,False,False,False,True,False,03-04-2025
Casa o chalet independiente en venta en Semicentre,casa,305000,Semicentre,"carrer anselm clavé,62",41.677296,2.7873864,250,3,1,1975,True,False,True,False,True,False,False,False,True,False,03-04-2025
Piso en venta en La Plantera,piso,150500,La Plantera,carrer béjar,41.66839367930616,2.775473038042611,63,3,1,1970,False,True,False,True,False,False,True,False,True,False,04-04-2025
Estudio en venta en Centre,estudio,135000,Centre,carrer ample,41.674546931962716,2.791958077322335,25,0,1,1970,True,False,False,True,False,False,False,False,True,False,07-04-2025
Piso en venta en calle de la Vila de Lloret,piso,190000,Mont Ferrant - Sant Joan,carrer de la vila de lloret,41.6877492,2.7991501,75,3,2,2005,False,True,False,True,False,False,False,False,True,False,08-04-2025
Piso en venta en rambla de Joaquim Ruyra,piso,185000,Centre,carrer rambla de joaquim ruyra,,,72,2,1,1971,False,False,False,True,False,False,True,False,True,False,03-03-2025
Piso en venta en calle Vilar Petit,piso,127000,Semicentre,carrer vilar petit,41.67860347835571,2.7815218115257156,50,1,1,1993,False,True,False,True,False,False,True,False,True,False,07-04-2025
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,695000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68565600269289,2.80189424883582,150,3,4,2001,True,False,True,False,False,True,False,False,True,False,27-03-2025
Piso en venta en avenida Catalunya,piso,75000,Els Pins,avinguda catalunya,41.68368089969945,2.7928017639573333,83,3,1,0,False,False,False,True,False,False,False,False,True,False,08-04-2025
Chalet adosado en venta en calle de Raval,casa,355000,Centre,carrer de raval,41.676516901145284,2.7922850047117125,195,4,2,1962,True,False,True,False,False,False,False,False,True,False,05-04-2025
"Dúplex en venta en calle Sant Bonós, 22",piso,372000,Centre,"carrer sant bonós, 22",41.673397191328206,2.7888824786952617,82,2,2,0,True,False,False,True,False,False,False,False,True,False,27-11-2024
"Piso en venta en calle Sant Bonós, 22",piso,263600,Centre,"carrer sant bonós, 22",41.673397191328206,2.7888824786952617,58,2,1,0,True,False,False,True,False,False,False,False,True,False,27-11-2024
"Piso en venta en calle Sant Bonós, 22",piso,286400,Centre,"carrer sant bonós, 22",41.673397191328206,2.7888824786952617,89,3,2,0,True,False,False,True,False,False,False,False,True,False,27-11-2024
"Dúplex en venta en calle Sant Bonós, 22",piso,449800,Centre,"carrer sant bonós, 22",41.673397191328206,2.7888824786952617,105,3,2,0,True,False,False,True,False,False,False,False,True,False,27-11-2024
Chalet pareado en venta en calle de les Guilleries,casa,140000,Els Pavos,carrer de les guilleries,41.67176524464972,2.7821273632430787,89,3,1,0,False,False,False,False,False,False,False,False,True,False,17-03-2025
Piso en venta en calle Vilar Petit,piso,155000,Semicentre,carrer vilar petit,41.67860347835571,2.7815218115257156,85,3,1,2000,False,False,False,True,False,False,False,False,True,False,07-04-2025
"Piso en venta en calle de Mas Marot, 5",piso,129500,Semicentre,"carrer de mas marot, 5",41.67845904943707,2.78733109033643,55,1,1,1997,True,False,False,True,False,False,False,False,True,False,04-04-2025
Piso en venta en calle Salvat Papasseit,piso,138000,Semicentre,carrer salvat papasseit,41.68299134344218,2.7813226958388513,70,3,1,1969,False,True,False,True,False,False,False,False,True,False,08-04-2025
"Piso en venta en calle Melilla, 6",piso,129900,Semicentre,"carrer melilla, 6",41.687150741268034,2.7951586371948594,110,3,2,2008,True,False,False,True,False,False,False,False,True,False,03-04-2025
Casa o chalet independiente en venta en calle Mas Borinot,casa,485000,Urbanitzacions,carrer mas borinot,41.68969277211043,2.791433149904925,240,3,3,1997,True,False,True,False,False,True,False,False,True,False,02-04-2025
Casa o chalet independiente en venta en Forn,casa,350000,Centre,carrer forn,41.674820356750885,2.7922938709593073,284,7,4,1974,True,False,False,False,False,False,False,False,True,False,01-02-2025
Piso en venta en calle de l'Abat Escarré,piso,220000,Mont Ferrant - Sant Joan,carrer de l'abat escarré,41.68126975816681,2.794739749269475,120,3,2,1978,False,True,True,True,False,False,True,False,True,False,04-03-2025
Piso en venta en calle Josep Tarradellas,piso,195000,Els Pins,carrer josep tarradellas,41.66847086092977,2.7857002187800997,52,2,1,0,False,True,False,True,False,False,True,False,True,False,07-04-2025
Casa o chalet independiente en venta en calle Sant Damià,casa,885000,Cala Sant Francesc - Santa Cristina,carrer sant damià,41.68554361526408,2.806842331103187,376,5,4,1981,True,False,True,False,True,True,True,False,True,False,26-02-2025
Piso en venta en avenida Catalunya,piso,155000,Els Pins,avinguda catalunya,41.66736168986042,2.777211594659377,86,3,1,1977,False,True,True,True,False,False,False,False,True,False,01-04-2025
"Piso en venta en avenida de l'Estació, 40",piso,188500,Semicentre,"avinguda de l'estació, 40",41.67442458152483,2.7724179129415067,87,3,2,2000,True,False,False,True,False,False,True,False,True,False,05-04-2025
"Piso en venta en avenida La Pau, 33",piso,310000,Centre,"avinguda la pau, 33",41.680417591407156,2.7904104041318325,105,3,2,0,True,False,True,True,False,False,True,False,True,False,01-03-2025
"Piso en venta en avenida La Pau, 33",piso,335000,Centre,"avinguda la pau, 33",41.680417591407156,2.7904104041318325,113,4,2,0,False,True,True,True,False,False,True,False,True,False,01-03-2025
"Piso en venta en avenida La Pau, 33",piso,325000,Centre,"avinguda la pau, 33",41.680417591407156,2.7904104041318325,105,3,2,0,False,True,True,True,False,False,True,False,True,False,01-03-2025
"Piso en venta en avenida La Pau, 33",piso,330000,Centre,"avinguda la pau, 33",41.680417591407156,2.7904104041318325,110,4,2,0,False,True,True,True,False,False,True,False,True,False,01-03-2025
"Piso en venta en avenida La Pau, 33",piso,330000,Centre,"avinguda la pau, 33",41.680417591407156,2.7904104041318325,113,4,2,0,False,True,True,True,False,False,True,False,True,False,01-03-2025
"Piso en venta en avenida La Pau, 33",piso,338000,Centre,"avinguda la pau, 33",41.680417591407156,2.7904104041318325,115,3,2,0,False,False,True,True,True,False,True,False,True,False,01-03-2025
"Piso en venta en avenida La Pau, 33",piso,315000,Centre,"avinguda la pau, 33",41.680417591407156,2.7904104041318325,105,3,2,0,False,True,True,True,False,False,True,False,True,False,01-03-2025
Piso en venta en Semicentre,piso,207900,Semicentre,"carrer anselm clavé,62",41.677296,2.7873864,112,3,2,0,True,False,False,True,False,False,False,False,True,False,04-03-2025
"Casa o chalet independiente en venta en camino de Santa Cristina, 47",casa,2000000,Cala Sant Francesc - Santa Cristina,"carrer camino de santa cristina, 47",,,315,5,5,2008,True,False,True,False,True,True,True,False,True,False,07-12-2024
Casa de pueblo en venta en calle de la Unió,casa,310000,Centre,carrer de la unió,41.67502847709133,2.7926185697870727,213,5,2,1937,True,False,False,False,False,False,False,False,True,False,18-12-2024
"Chalet pareado en venta en calle de Provença, 1",casa,340000,Els Pavos,"carrer de provença, 1",41.67561905639978,2.781819036155578,128,4,2,1986,False,False,True,False,True,False,True,False,True,False,18-02-2025
Casa o chalet independiente en venta en calle de la Surera,casa,650000,Urbanitzacions,carrer de la surera,,,292,7,3,1980,True,False,True,False,True,True,False,False,True,False,20-10-2024
"Piso en venta en plaza de Catalunya, 1",piso,195000,Centre,"plaça de catalunya, 1",41.6726323,2.7900597,127,1,1,0,False,False,False,True,False,False,False,False,False,False,01-04-2025
Piso en venta en calle Josep Carner,piso,136000,La Plantera,carrer josep carner,41.66837048986316,2.7776464965773737,106,3,2,1979,True,False,False,True,False,False,False,False,True,False,26-03-2025
Casa o chalet independiente en venta en Urbanitzacions,casa,485000,Urbanitzacions,carrer urbanitzacions,,,190,4,3,1997,True,False,True,False,True,True,True,False,True,False,04-04-2025
Casa o chalet independiente en venta en Urbanitzacions,casa,325000,Urbanitzacions,carrer urbanitzacions,,,222,3,4,1993,False,False,False,False,False,False,False,False,True,False,04-04-2025
"Casa o chalet en venta en calle de l'Or, 31 -17",casa,130000,Centre,"carrer de l'or, 31 -17",41.67481897693837,2.7927762372218945,185,6,3,1958,False,False,False,False,False,False,False,False,True,False,04-11-2024
Piso en venta en calle d'Ignasi Iglesias,piso,290000,Els Pins,carrer d'ignasi iglesias,41.6608896929472,2.7817487881108915,105,3,2,1978,False,True,False,True,False,True,False,False,True,False,01-04-2025
Piso en venta en calle Espronceda,piso,93000,La Plantera,carrer espronceda,41.66841556114663,2.774977175572961,54,1,1,0,False,True,False,True,False,False,False,True,True,False,08-04-2025
Piso en venta en calle del Cadí,piso,177000,Centre,carrer del cadí,,,80,4,1,1974,False,True,False,True,False,False,False,False,True,False,01-03-2025
Piso en venta en avenida Catalunya,piso,62000,Els Pins,avinguda catalunya,41.66736168986042,2.777211594659377,85,3,1,0,False,False,False,True,False,False,False,True,True,False,26-03-2025
Ático en venta en calle d'Alberes,piso,339000,Els Pavos,carrer d'alberes,41.6726382507585,2.780861771647733,134,4,2,1997,False,True,True,True,False,True,False,False,True,False,17-09-2024
Piso en venta en La Plantera,piso,180000,La Plantera,carrer béjar,41.66839367930616,2.775473038042611,93,2,1,1980,False,True,False,True,False,False,True,False,True,False,06-09-2024
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,790000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68812440873454,2.8021213149376165,268,4,2,2001,True,False,False,False,True,True,True,False,True,False,08-04-2025
Casa o chalet independiente en venta en calle Ferran Soldevila,casa,1400000,Mont Ferrant - Sant Joan,carrer ferran soldevila,41.67821110562303,2.7952087854432226,520,5,3,1991,False,True,False,False,False,True,True,False,True,False,14-06-2024
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,2450000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68812440873454,2.8021213149376165,450,11,9,1979,True,False,True,False,True,False,False,False,True,False,19-11-2024
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,1800000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68812440873454,2.8021213149376165,350,5,6,1992,True,False,True,False,False,True,True,False,True,False,07-03-2025
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,2450000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68812440873454,2.8021213149376165,450,11,9,1979,True,False,True,False,True,False,False,False,True,False,19-11-2024
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,1250000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68812440873454,2.8021213149376165,455,4,6,1993,True,False,True,False,True,False,False,False,True,False,19-11-2024
Piso en venta en Els Pins,piso,300000,Els Pins,carrer vila de paris,41.66407367300141,2.783408558724116,94,3,2,1978,True,False,False,True,False,True,False,False,True,False,19-11-2024
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,1875000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68812440873454,2.8021213149376165,342,6,5,1988,False,True,True,False,True,False,False,False,True,False,02-12-2024
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,1250000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68812440873454,2.8021213149376165,412,4,4,2010,True,False,True,False,True,True,True,False,True,False,07-03-2025
Chalet adosado en venta en Centre,casa,695000,Centre,carrer ample,41.674546931962716,2.791958077322335,348,3,3,1910,False,True,True,False,False,False,False,False,True,False,19-11-2024
Casa o chalet independiente en venta en Mont Ferrant - Sant Joan,casa,850000,Mont Ferrant - Sant Joan,carrer mas vaixeller,41.67847922230874,2.7791742543271614,504,7,5,2004,True,False,True,False,True,True,True,False,True,False,19-11-2024
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,3995000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68812440873454,2.8021213149376165,487,4,4,2023,True,False,True,False,True,False,True,False,True,False,25-11-2024
Casa o chalet independiente en venta en Centre,casa,995000,Centre,carrer ample,41.674546931962716,2.791958077322335,487,4,6,0,True,False,True,False,True,True,True,False,True,False,10-03-2025
Chalet pareado en venta en Centre,casa,325000,Centre,carrer ample,41.674546931962716,2.791958077322335,159,3,1,1989,True,False,False,False,False,False,True,False,True,False,20-02-2025
Piso en venta en Els Pavos,piso,189000,Els Pavos,"carrer provença,4",41.67561905639978,2.781819036155578,50,2,1,2008,True,False,False,True,False,False,True,False,True,False,08-04-2025
Piso en venta en Semicentre,piso,117000,Semicentre,"carrer anselm clavé,62",41.677296,2.7873864,75,3,1,0,False,True,False,True,False,False,False,False,True,False,02-04-2025
Piso en venta en calle Josep Carner,piso,136000,La Plantera,carrer josep carner,41.66837048986316,2.7776464965773737,105,3,2,0,True,False,False,True,False,False,False,False,True,False,14-03-2025
Chalet pareado en venta en calle del Contoliu,casa,460000,Centre,carrer del contoliu,41.67457203240447,2.7876348771990314,250,6,3,1957,True,False,True,False,True,False,False,False,True,False,20-03-2025
Piso en venta en calle Melilla,piso,129000,Semicentre,carrer melilla,41.687150741268034,2.7951586371948594,96,3,2,0,False,False,False,True,False,False,False,False,True,False,28-02-2025
Piso en venta en calle Melilla,piso,129900,Semicentre,carrer melilla,41.687150741268034,2.7951586371948594,110,3,2,0,False,False,False,True,False,False,False,False,True,False,01-03-2025
Piso en venta en calle Melilla,piso,132000,Semicentre,carrer melilla,41.687150741268034,2.7951586371948594,100,3,2,0,False,False,False,True,False,False,False,False,True,False,28-02-2025
Casa o chalet en venta en calle de la Surera,casa,525000,Urbanitzacions,carrer de la surera,,,245,5,3,2012,True,False,True,False,False,True,False,False,True,False,27-03-2025
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,836000,Cala Sant Francesc - Santa Cristina,carrer de sant francesc,41.68812440873454,2.8021213149376165,386,3,4,2006,True,False,True,False,True,True,True,False,True,False,25-02-2025
Piso en venta en Semicentre,piso,169000,Semicentre,"carrer anselm clavé,62",41.677296,2.7873864,78,2,1,0,False,True,False,True,False,False,False,False,True,False,02-04-2025
